Date,Price,Open,High,Low,Vol.,Change %,Close
11/29/20,"18,185.5","17,729.7","18,336.3","17,530.4",79.12K,2.57%,18365.9
11/28/20,"17,730.7","17,142.6","17,874.4","16,874.4",95.20K,3.52%,"17,142.6"
11/27/20,"17,127.1","17,160.9","17,450.3","16,481.6",138.80K,-0.20%,"17,160.9"
11/26/20,"17,162.0","18,721.9","18,894.9","16,235.2",312.07K,-8.34%,"18,721.9"
11/25/20,"18,723.0","19,151.5","19,486.7","18,527.7",146.12K,-2.24%,"19,151.5"
11/24/20,"19,152.6","18,394.6","19,416.6","18,074.8",180.79K,4.21%,"18,394.6"
11/23/20,"18,379.6","18,428.1","18,756.8","18,016.0",127.35K,-0.18%,"18,428.1"
11/22/20,"18,412.9","18,689.3","18,751.5","17,644.6",121.76K,-1.47%,"18,689.3"
11/21/20,"18,687.2","18,673.8","18,966.0","18,397.5",108.91K,0.06%,"18,673.8"
11/20/20,"18,675.2","17,805.5","18,811.0","17,758.4",134.42K,4.90%,"17,805.5"
11/19/20,"17,803.5","17,775.1","18,166.0","17,380.1",135.94K,0.16%,"17,775.1"
11/18/20,"17,774.6","17,662.3","18,466.1","17,258.9",233.43K,0.64%,"17,662.3"
11/17/20,"17,662.3","16,715.8","17,845.4","16,562.0",175.87K,5.66%,"16,715.8"
11/16/20,"16,715.8","15,954.1","16,880.7","15,870.7",118.09K,4.78%,"15,954.1"
11/15/20,"15,953.0","16,074.7","16,158.1","15,782.3",58.43K,-0.73%,"16,074.7"
11/14/20,"16,071.0","16,323.1","16,328.2","15,717.7",83.64K,-1.55%,"16,323.1"
11/13/20,"16,324.2","16,293.0","16,474.1","15,973.4",113.75K,0.18%,"16,293.0"
11/12/20,"16,294.7","15,695.8","16,342.7","15,483.5",165.54K,3.82%,"15,695.8"
11/11/20,"15,695.8","15,303.1","15,953.9","15,281.0",119.07K,2.56%,"15,303.1"
11/10/20,"15,303.6","15,328.0","15,465.3","15,096.5",93.36K,-0.15%,"15,328.0"
11/9/20,"15,327.2","15,483.3","15,819.6","14,816.9",165.04K,-1.01%,"15,483.3"
11/8/20,"15,483.7","14,826.6","15,648.3","14,720.7",94.99K,4.42%,"14,826.6"
11/7/20,"14,828.4","15,578.2","15,754.4","14,385.1",160.73K,-4.81%,"15,578.2"
11/6/20,"15,577.9","15,593.9","15,955.2","15,223.5",186.13K,-0.06%,"15,593.9"
11/5/20,"15,587.1","14,145.6","15,739.9","14,099.7",227.49K,10.19%,"14,145.6"
11/4/20,"14,145.6","14,023.0","14,238.8","13,544.4",140.80K,0.90%,"14,023.0"
11/3/20,"14,019.9","13,560.5","14,054.0","13,294.6",108.17K,3.38%,"13,560.5"
11/2/20,"13,561.4","13,759.7","13,828.4","13,214.2",97.76K,-1.44%,"13,759.7"
11/1/20,"13,759.4","13,795.5","13,889.5","13,628.7",51.71K,-0.27%,"13,795.5"
10/31/20,"13,797.3","13,560.2","14,065.4","13,441.7",102.75K,1.75%,"13,560.2"
10/30/20,"13,559.9","13,457.0","13,667.9","13,134.5",108.77K,0.76%,"13,457.0"
10/29/20,"13,457.2","13,278.3","13,640.0","12,982.9",111.23K,1.34%,"13,278.3"
10/28/20,"13,278.9","13,658.3","13,851.7","12,907.6",144.18K,-2.77%,"13,658.3"
10/27/20,"13,657.8","13,061.5","13,782.3","13,050.3",128.64K,4.56%,"13,061.5"
